Основное средство;Гр. уч;Инвентарный номер;Серийный номерЦМО;Дата ввода в эксплуатацию;Дата принятия к учету;Количество
Источник бесперебойного питания программно-аппаратного комплекса - сенсорная пан;Нет;41013400229;00000000000;27. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Шереметьевская улица, дом 27, корпус 1);20.12.2017;20.12.2017;1
Источник бесперебойного питания IPPON Back office 1000;Нет;41013400261;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Источник бесперебойного питания IPPON Back office 1000;Нет;41013400262;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Персональный компьютер управления АРМ контролера (охранника) НР 400G2PON AiO NT;Нет;41013400264;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
ПК программно-аппаратного комплкса - сенсорная панель MSI AE222T-285RU;Нет;41013400270;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
ПК программно-аппаратного комплкса - сенсорная панель MSI AE222T-285RU;Нет;41013400271;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Источник бесперебойного питания программно-аппаратного комплекса - сенсорная пан;Нет;41013400272;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Персональный компьютер АРМ администратора MSI Codex B913-КРПЕ.466219.032;Нет;41013400273;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Монитор АРМ администратора АОС Е2270SWDN;Нет;41013400274;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Коммутатор шестнадцатипортовый TP-LINK TL SF1016D;Нет;;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Источник бесперебойного питания IPPON Back office 1000;Нет;41013400279;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Источник бесперебойного питания IPPON Back office 1000;Нет;41013400280;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Маршрутизатор Linksys EA6350;Нет;41013400281;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Персональный компьютер управления АРМ контролера (охранника) НР 400G2PON AiO NT;Нет;41013400282;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Источник питания оборудования точки прохода (электрозамок) Бастион СКАТ 1200Д ис;Нет;41013400283;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
ПК программно-аппаратного комплкса - сенсорная панель MSI AE222T-285RU;Нет;41013400285;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Источник бесперебойного питания программно-аппаратного комплекса - сенсорная пан;Нет;41013400286;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Персональный компьютер АРМ администратора MSI Codex B913-КРПЕ.466219.032;Нет;41013400287;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Монитор АРМ администратора АОС Е2270SWDN;Нет;41013400288;00000000000;3А. Колокольникова Е.А.(з.х. с 01.09.2020)(г. Москва, 1-й проезд Марьиной Рощи, дом 3А);25.12.2017;25.12.2017;1
Персональный компьютер АРМ администратора НР EliteDesk 800 G1 TWR Business РС (Т;Нет;41013400230;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Монитор АРМ администратора АОС Е2270SWDN;Нет;41013400231;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Источник бесперебойного питания ESP ЕР1000 (PPF6000110);Нет;41013400235;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Источник бесперебойного питания ESP ЕР1000 (PPF6000110);Нет;41013400236;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Маршрутизатор Linksys EA6350;Нет;41013400237;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Персональный компьютер управления АРМ контролера (охранника) НР 400G2PON AiO NT;Нет;41013400238;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Источник питания оборудования точки прохода (электрозамок) Бастион СКАТ 1200Д ис;Нет;41013400239;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
ПК программно-аппаратного комплкса - сенсорная панель MSI AE222T-285RU;Нет;41013400242;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Источник бесперебойного питания программно-аппаратного комплекса - сенсорная пан;Нет;41013400243;00000000000;7Б. Чурляев М.Н. (з.х. с 01.09.2020)(г. Москва, улица Советской Армии, дом 7Б);20.12.2017;20.12.2017;1
Персональный компьютер АРМ администратора НР EliteDesk 800 G1 TWR Business РС (Т;Нет;41013400244;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
Монитор АРМ администратора АОС Е2270SWDN;Нет;41013400245;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
Источник бесперебойного питания ESP ЕР1000 (PPF6000110);Нет;41013400249;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
Источник бесперебойного питания ESP ЕР1000 (PPF6000110);Нет;41013400250;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
Маршрутизатор Linksys EA6350;Нет;41013400251;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
Персональный компьютер управления АРМ контролера (охранника) НР 400G2PON AiO NT;Нет;41013400252;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
Источник питания оборудования точки прохода (электрозамок) Бастион СКАТ 1200Д ис;Нет;41013400253;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
ПК программно-аппаратного комплкса - сенсорная панель MSI AE222T-285RU;Нет;41013400255;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
Источник бесперебойного питания программно-аппаратного комплекса - сенсорная пан;Нет;41013400256;00000000000;5. Аскеров П.Б.(з.х. с 02.05.2023)(г. Москва, Старомарьинское шоссе, дом 5);20.12.2017;20.12.2017;1
ПК программно-аппаратного комплекса - сенсорная панель МS1 АЕ222-209RU;Нет;41013400624;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);16.10.2018;16.10.2018;1
ПК программно-аппаратного комплекса - сенсорная панель МS1 АЕ222-209RU;Нет;41013400625;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);16.10.2018;16.10.2018;1
Источник бесперебойного питания программно-аппаратного комплекса - сенсорная пан;Нет;41013400627;00000000000;10. Руденко Н.С.(с 02.05.2023)(г. Москва, улица Двинцев, дом 10);16.10.2018;16.10.2018;1
Моноблочный специализированный персональный компьютер АРМ оператора питания Chec;Нет;41013400641;00000000000;9. Чурляев М.Н. (з.х. с 10.02.2020)(г. Москва, улица Советской Армии, дом 9);16.10.2018;16.10.2018;1
